City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Puerto Narino,CO,2022-12-29 21:43:44,-3.7703,-70.3831,78.55,91,82,2.08
159,Saskylakh,RU,2022-12-29 21:43:44,71.9167,114.0833,-2.92,86,100,23.69
160,Alpinopolis,BR,2022-12-29 21:43:44,-20.8636,-46.3881,66.18,96,100,1.68
161,Moses Lake,US,2022-12-29 21:43:45,47.1301,-119.2781,35.96,80,100,3.44
162,Fez,MA,2022-12-29 21:39:35,34.0372,-4.9998,48.45,71,0,6.91
163,Ciudad Bolivar,VE,2022-12-29 21:43:45,8.1222,-63.5497,85.24,51,24,11.79
164,Port Lincoln,AU,2022-12-29 21:43:46,-34.7333,135.8667,61.0,65,0,14.05
165,Praia Da Vitoria,PT,2022-12-29 21:43:46,38.7333,-27.0667,62.85,88,75,29.91
166,Sept-Iles,CA,2022-12-29 21:41:53,50.2001,-66.3821,17.6,78,100,5.75
167,Gejiu,CN,2022-12-29 21:43:47,23.306,103.1635,36.61,95,99,1.9
168,Udachnyy,RU,2022-12-29 21:43:47,66.4167,112.4,-25.42,99,100,6.04
169,Kiunga,PG,2022-12-29 21:43:47,-6.1219,141.2906,72.54,98,100,2.44
170,Valdemarpils,LV,2022-12-29 21:43:48,57.3707,22.5919,42.13,92,99,12.26
171,Lavrentiya,RU,2022-12-29 21:43:48,65.5833,-171.0,-9.24,86,70,9.89
172,Salima,MW,2022-12-29 21:43:49,-13.7804,34.4587,70.16,92,100,2.89
173,Provideniya,RU,2022-12-29 21:43:49,64.3833,-173.3,5.11,66,100,15.66
174,Mount Isa,AU,2022-12-29 21:43:50,-20.7333,139.5,76.77,78,40,3.44
175,Tuktoyaktuk,CA,2022-12-29 21:43:50,69.4541,-133.0374,-4.0,84,100,6.91
176,Lasa,IT,2022-12-29 21:43:50,46.6166,10.7002,38.28,95,97,2.59
177,Labuhan,ID,2022-12-29 21:43:51,-6.8844,112.2051,76.35,92,100,14.83
178,Lompoc,US,2022-12-29 21:43:51,34.6391,-120.4579,58.51,78,100,8.05
179,Iskateley,RU,2022-12-29 21:43:51,67.6803,53.1512,-0.27,88,100,10.36
180,Urengoy,RU,2022-12-29 21:43:52,65.9667,78.3667,-19.93,100,84,6.93
181,Carballo,ES,2022-12-29 21:43:52,43.213,-8.691,58.01,91,100,13.53
182,Khuzhir,RU,2022-12-29 21:43:53,53.1939,107.3397,15.67,78,92,6.76
183,Surt,LY,2022-12-29 21:43:53,31.2089,16.5887,62.24,71,31,1.83
184,El Viejo,NI,2022-12-29 21:43:53,12.6633,-87.1672,88.02,48,40,4.61
185,Gat,IL,2022-12-29 21:43:54,31.61,34.7642,56.39,65,0,2.35
186,Maniitsoq,GL,2022-12-29 21:43:54,65.4167,-52.9,11.26,85,99,5.64
187,Cururupu,BR,2022-12-29 21:44:55,-1.8283,-44.8683,74.71,94,82,3.29
188,Port Alfred,ZA,2022-12-29 21:44:55,-33.5906,26.891,59.18,95,92,3.0
189,Bethel,US,2022-12-29 21:43:37,41.3712,-73.414,49.05,40,0,6.91
190,Lebu,CL,2022-12-29 21:44:56,-37.6167,-73.65,61.86,70,2,24.25
191,Ballina,AU,2022-12-29 21:44:56,-28.8667,153.5667,72.01,98,99,11.63
192,Rocha,UY,2022-12-29 21:44:56,-34.4833,-54.3333,66.94,47,2,8.52
193,Port Hardy,CA,2022-12-29 21:44:57,50.6996,-127.4199,42.98,87,100,19.57
194,Port Elizabeth,ZA,2022-12-29 21:44:57,-33.918,25.5701,61.09,82,75,4.61
195,Ternate,ID,2022-12-29 21:44:58,0.8,127.4,80.26,82,99,8.39
196,Sur,OM,2022-12-29 21:44:58,22.5667,59.5289,71.37,60,0,16.46
197,Isangel,VU,2022-12-29 21:44:58,-19.55,169.2667,78.91,94,100,12.66
198,Quelimane,MZ,2022-12-29 21:44:59,-17.8786,36.8883,78.75,88,75,9.22
199,Isla Mujeres,MX,2022-12-29 21:44:59,21.2311,-86.731,77.58,84,64,14.52
200,Mehriz,IR,2022-12-29 21:45:00,31.5917,54.4318,32.5,46,0,4.74
