City_ID,City,Country,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Current_Description
489,Bin Qirdan,TN,33.1378,11.2197,57.02,46,0,5.84,clear sky
490,Teya,RU,60.3778,92.6267,-9.63,98,77,2.46,broken clouds
491,Klaksvik,FO,62.2266,-6.589,32.92,64,96,21.09,overcast clouds
492,Mozarlandia,BR,-14.7447,-50.5706,70.21,98,100,3.31,overcast clouds
493,Buin,CL,-33.7333,-70.75,71.74,61,0,0.83,clear sky
494,West Wendover,US,40.7391,-114.0733,29.41,74,100,3.44,overcast clouds
495,Barra Patuca,HN,15.8,-84.2833,73.98,89,7,6.24,light rain
496,Rivera,UY,-30.9053,-55.5508,61.65,40,0,4.43,clear sky
497,Sault Sainte Marie,CA,46.5168,-84.3333,44.89,100,100,8.05,fog
498,Gimli,CA,50.6336,-96.9907,5.02,78,93,5.75,overcast clouds
499,Mahon,ES,39.8885,4.2658,59.56,82,0,14.97,clear sky
500,Humberto De Campos,BR,-2.5983,-43.4611,74.52,92,85,4.79,moderate rain
501,Todos Santos,MX,23.45,-110.2167,67.44,74,96,3.09,overcast clouds
502,Ito,JP,34.9667,139.0833,50.74,69,41,3.31,scattered clouds
503,Cooma,AU,-36.2333,149.1333,66.6,79,100,6.13,light rain
504,Yokote,JP,39.3,140.5667,33.96,90,95,13.69,light snow
505,Andijon,UZ,40.7821,72.3442,42.08,75,40,4.61,mist
506,Carutapera,BR,-1.195,-46.02,75.65,91,83,6.31,broken clouds
507,Panama City,PA,8.9936,-79.5197,78.13,86,75,3.44,broken clouds
508,Tiznit,MA,29.5833,-9.5,59.9,32,58,5.21,broken clouds
509,Astana,KZ,51.1801,71.446,17.55,86,75,8.95,broken clouds
510,Belance,PH,16.1833,121.25,67.69,88,100,4.61,overcast clouds
511,Surt,LY,31.2089,16.5887,60.46,63,100,4.59,overcast clouds
512,San Juan,AR,-31.5375,-68.5364,78.04,25,0,7.16,clear sky
513,Rybinsk,RU,58.0446,38.8426,12.13,96,100,7.54,overcast clouds
514,Ambikapur,IN,23.1167,83.2,75.31,22,5,5.79,clear sky
515,Pasighat,IN,28.0667,95.3333,71.94,37,3,3.8,clear sky
516,Skjervoy,NO,70.0311,20.9714,24.8,69,100,32.66,overcast clouds
517,Duncan,US,34.5023,-97.9578,46.29,59,0,8.05,clear sky
518,Sundsvall,SE,62.3913,17.3063,33.76,100,100,6.91,overcast clouds
519,Casino,AU,-28.8667,153.05,69.78,91,100,5.97,overcast clouds
520,Bam,IR,29.106,58.357,52.21,35,0,3.15,clear sky
521,San Julian,MX,21.0167,-102.1667,47.32,42,40,5.64,scattered clouds
522,Henties Bay,NA,-22.116,14.2845,64.38,78,15,1.99,few clouds
523,Makokou,GA,0.5738,12.8642,76.69,72,99,3.06,overcast clouds
524,Mongoumba,CF,3.6415,18.5936,78.55,31,100,5.55,overcast clouds
525,Pandamatenga,BW,-18.5278,25.627,81.19,46,6,8.5,clear sky
526,Camapua,BR,-19.5314,-54.0439,70.72,95,84,0.31,broken clouds
527,Safford,US,32.834,-109.7076,50.11,87,100,5.75,overcast clouds
528,Xining,CN,36.6167,101.7667,28.44,18,0,2.24,clear sky
529,Harrisburg,US,40.2737,-76.8844,43.05,78,100,1.99,overcast clouds
530,Canton,CN,23.1167,113.25,67.87,39,100,11.03,overcast clouds
531,Uruzgan,AF,32.8333,66.0,42.28,41,0,3.87,clear sky
532,Minot,US,48.2325,-101.2963,-3.28,99,22,4.88,few clouds
533,Dekar,BW,-21.5333,21.9333,76.68,51,96,13.49,overcast clouds
534,Shenjiamen,CN,29.9576,122.298,47.08,65,99,14.67,overcast clouds
535,Artyom,AZ,40.4723,50.333,48.34,62,38,5.79,scattered clouds
536,Kolaras,IN,25.2333,77.6,77.32,22,0,7.38,clear sky
537,Broken Hill,AU,-31.95,141.4333,89.37,25,2,4.9,clear sky
538,Port Hardy,CA,50.6996,-127.4199,42.98,87,100,21.85,light rain
539,Guangyuan,CN,32.442,105.823,46.9,59,99,3.04,overcast clouds
540,Peterhead,GB,57.5058,-1.7981,43.2,95,100,28.21,moderate rain
541,Evensk,RU,61.95,159.2333,-8.93,77,93,11.05,overcast clouds
542,Nemuro,JP,43.3236,145.575,29.41,62,38,13.82,scattered clouds
543,Markova,UA,48.6758,24.4138,39.18,87,99,6.69,overcast clouds
544,Bekovo,RU,52.4663,43.712,28.08,97,100,8.7,light snow
545,Vidra,RO,44.2606,26.1697,39.34,87,8,6.67,clear sky
546,Mchinji,MW,-13.7984,32.8802,68.99,82,100,3.53,overcast clouds
547,Teguise,ES,29.0605,-13.564,61.02,82,0,4.61,clear sky
548,Ljungby,SE,56.8332,13.9408,41.41,91,100,16.51,overcast clouds
549,Aljezur,PT,37.3191,-8.8033,58.64,82,100,7.78,overcast clouds
550,Ixtapa,MX,20.7,-105.2,69.22,77,55,2.77,broken clouds
551,Acarau,BR,-2.8856,-40.12,77.34,85,53,8.57,broken clouds
552,Zyryanka,RU,65.75,150.85,-30.17,98,100,3.91,overcast clouds
553,Jodhpur,IN,26.2867,73.03,74.64,22,0,10.18,clear sky
554,Clifton,US,40.8584,-74.1638,44.42,76,75,3.44,broken clouds
555,Norsup,VU,-16.0667,167.3833,80.94,83,98,18.39,overcast clouds
556,Nouadhibou,MR,20.931,-17.0347,66.18,77,40,10.36,scattered clouds
557,Mincivan,AZ,39.0294,46.7185,43.61,57,0,2.15,clear sky
558,Gualan,GT,15.1333,-89.3667,71.11,97,100,0.6,overcast clouds
559,Yumen,CN,40.2833,97.2,24.28,43,77,15.21,broken clouds
560,Bend,US,44.0582,-121.3153,37.81,89,40,8.99,moderate rain
561,Kibala,TD,9.1104,18.3463,67.95,42,0,4.61,clear sky
562,Montmagny,FR,48.9734,2.3469,47.64,92,100,17.27,overcast clouds
563,Conakry,GN,9.538,-13.6773,78.87,78,75,4.61,mist
564,Quatre Cocos,MU,-20.2078,57.7625,84.31,63,1,9.75,clear sky
565,Mackay,AU,-21.15,149.2,87.67,69,76,14.45,broken clouds
566,Lima,PE,-12.0432,-77.0282,71.91,79,75,10.36,broken clouds
567,Turukhansk,RU,65.8167,87.9833,-15.86,84,18,8.52,few clouds
568,Horodyshche,UA,49.2849,31.4451,34.57,73,100,7.14,overcast clouds
569,Zaranj,AF,30.9667,61.8833,53.56,37,0,10.18,clear sky
570,Luena,AO,-11.7833,19.9167,66.54,86,97,6.87,overcast clouds
571,Kuzhithurai,IN,8.3167,77.1833,87.48,44,81,1.5,broken clouds
572,Gigmoto,PH,13.7796,124.39,81.84,82,100,3.56,overcast clouds
573,George,ZA,-33.963,22.4617,63.37,48,100,5.95,overcast clouds
574,Singkang,MY,2.1006,102.7994,83.98,68,86,4.14,overcast clouds
575,Bambanglipuro,ID,-7.95,110.2833,82.56,72,83,4.25,broken clouds
576,Araouane,ML,18.9048,-3.5265,66.94,19,100,10.94,overcast clouds
